id,message,sura,ajet,imagePath,description
1,"Allah - Bog",1,1,"assets/images/1.jpg","Ime Allah označava Jedinog pravog Boga, Stvoritelja svega što postoji. To je najveće i najsveobuhvatnije ime koje obuhvata sva božanska svojstva savršenstva."
2,"er-Rahmān - Milostivi",1,1,"assets/images/2.jpg","Er-Rahman znači Beskonačno Milostiv, Onaj čija milost obuhvata sve stvorenje. Ova milost se proteže na sve ljude, bez obzira na njihovu vjeru."
3,"er-Rahīm - Samilosni",1,1,"assets/images/3.jpg","Er-Rahim označava Posebno Milostivog prema vjernicima. Njegova posebna milost se očituje u nagrađivanju vjernika na Sudnjem danu."
4,"el-Melik - Kralj",59,23,"assets/images/4.jpg","El-Melik znači Vrhovni Vladar i Kralj svega što postoji. On posjeduje apsolutnu vlast i kontrolu nad svim stvarima u vidljivom i nevidljivom svijetu."
5,"el-Kuddus - Sveti",59,23,"assets/images/5.jpg","El-Kuddus označava Potpuno Svetog, Čistog od svih nedostataka i mana. On je iznad svega što Mu stvorenja mogu pripisati i potpuno je savršen."
6,"es-Selām - Mir",59,23,"assets/images/6.jpg","Es-Selam znači Izvor Mira i Sigurnosti. On je oslobođen svih nedostataka i od Njega dolazi mir i sigurnost za cijelo stvorenje."
7,"el-Mu'min - Vjerodostojni",59,23,"assets/images/7.jpg","El-Mu'min označava Onoga koji daje sigurnost i potvrđuje istinu. On čuva Svoje robove i daje im mir, štiteći ih od straha."
8,"el-Muhejmin - Čuvar",59,23,"assets/images/8.jpg","El-Muhejmin znači Vrhovni Nadzornik i Čuvar koji sve vidi i svime upravlja. Ništa ne može biti skriveno od Njegove potpune kontrole."
9,"el-Aziz - Moćni",59,23,"assets/images/9.jpg","El-Aziz označava Nepobjedivog, Moćnog i Silnog. On je Nenadmašan u Svojoj snazi i ​​nikakva sila ne može Ga savladati ili osporiti."
10,"el-Džebbar - Silan",59,23,"assets/images/10.jpg","El-Džebbar znači Silni koji popravlja i kompenzira. On prisiljava tirane da se pokore Njegovoj volji i ispravlja stvari prema svojoj mudrosti."
11,"el-Mutekebbir - Ponositi",59,23,"assets/images/11.jpg","El-Mutekebbir označava Veličanstvenog koji je iznad svega. On jedini ima pravo na veličinu i sva slava i ponos pripadaju samo Njemu."
12,"el-Halik - Stvoritelj",59,24,"assets/images/12.jpg","El-Halik znači Stvoritelj koji stvara iz ničega. On je stvorio sve što postoji svojom voljom i moći, bez ikakve potrebe ili primjera."
13,"el-Bari' - Tvorac",59,24,"assets/images/13.jpg","El-Bari' označava Tvorca koji stvari izvodi iz nebivstvovanja u bivstvovanje. On oblikuje stvorenja u savršenom skladu i ravnoteži."
14,"el-Musavvir - Oblikovatelj",59,24,"assets/images/14.jpg","El-Musavvir znači Oblikovalac koji daje oblik i formu svemu što je stvorio. On daje jedinstvene oblike i karakteristike svakom stvorenju."
15,"el-Gaffār - Opraštač",20,82,"assets/images/15.jpg","El-Gaffar označava Velikog Opraštača koji neprestano oprašta grijehe Svojih robova. On pokriva grijehe i mijenja loša djela u dobra."
16,"el-Kahhār - Pokoritelj",13,16,"assets/images/16.jpg","El-Kahhar znači Svemoćni Savladivač koji sve pokrava Svojoj volji. Njegova moć je apsolutna i sve se mora pokoriti Njegovoj naredbi."
17,"el-Vehhāb - Darovatelj",38,9,"assets/images/17.jpg","El-Vehhab označava Velikodušnog Darodavca koji daje beskrajne darove bez traženja uzvrata. Njegova darežljivost je beskrajna i neprestana."
18,"er-Rezzāk - Opskrbljivač",51,58,"assets/images/18.jpg","Er-Rezzak znači Opskrbitelja koji osigurava rizik i sredstva za život svim stvorenjima. On daje hranu i sve potrebe bez traženja uzvrata."
19,"el-Fettāh - Otvarač",34,26,"assets/images/19.jpg","El-Fettah označava Onoga koji otvara vrata milosti, znanja i pobjede. On rješava probleme i otvara puteve tamo gdje ih čovjek ne vidi."
20,"el-'Alīm - Sveznajući",2,32,"assets/images/20.jpg","El-Alim znači Sveznajući koji zna sve što je bilo, sve što jeste i sve što će biti. Ništa nije skriveno od Njegovog savršenog znanja."
21,"el-Kābid - Stiskač",2,245,"assets/images/21.jpg","El-Kabid označava Onoga koji zadržava i sužava. On kontrolira dotok rizika i može suziti okolnosti prema Svojoj mudrosti i planu."
22,"el-Bāsit - Širitelj",2,245,"assets/images/22.jpg","El-Basit znači Onaj koji širi i proširuje. On daje obilno i širi rizik, milost i blagoslove onima kome želi."
23,"el-Hāfid - Ponizitelj",56,3,"assets/images/23.jpg","El-Hafid označava Onoga koji ponizuje i snižava. On može poniziti one koji su oholovali i smatraju se većim nego što zaslužuju."
24,"er-Rāfi' - Uzvišitelj",4,158,"assets/images/24.jpg","Er-Rafi' znači Uzvišitelj koji podiže u časti i rangu. On uzdiže vjernike u dunjaluku i ahiretu prema njihovim dobrim djelima."
25,"el-Mu'izzu - Časnik",3,26,"assets/images/25.jpg","El-Mu'izz označava Onoga koji daje čast i dostojanstvo. On poklanja čast i snagu onome kome želi i kako želi."
26,"el-Muzill - Ponižitelj",3,26,"assets/images/26.jpg","El-Muzill znači Ponižitelj koji oduzima čast. On ponizuje one koji se uzdižu protiv Njegove volje i pobune se protiv Njegove vlasti."
27,"es-Semī'u - Svečujući",2,127,"assets/images/27.jpg","Es-Semi' označava Svečujućeg koji čuje sve glasove i zvukove. On čuje dove i molitve Svojih robova i odgovara na njih."
28,"el-Besīr - Svevidni",17,1,"assets/images/28.jpg","El-Besir znači Svevidni koji vidi sve, vidljivo i nevidljivo. Ništa nije skriveno od Njegovog pogleda, ma koliko bilo malo ili daleko."
29,"el-Hakemu - Sudija",40,48,"assets/images/29.jpg","El-Hakem označava Vrhovnog Sudiju koji sudi između ljudi s pravdom. Njegova presuda je konačna i niko ne može osporiti Njegov sud."
30,"el-Adlu - Pravedni",16,90,"assets/images/30.jpg","El-Adl znači Potpuno Pravedni koji nikada ne čini nepravdu. On sudi sa apsolutnom pravdom i daje svakom ono što mu pripada."
